GPU: NVIDIA GeForce RTX 3080 Ti
GPU memory: 12038.19 MB
Epoch 8500/100000 ||  loss: 0.0003016919072251767 ||  loss_test: 0.0007971904124133289 || lr: [0.0007]
**************************************************
Epoch 8550/100000 ||  loss: 0.00028259065584279597 ||  loss_test: 0.0007624637219123542 || lr: [0.0007]
**************************************************
Epoch 8600/100000 ||  loss: 0.0002653078408911824 ||  loss_test: 0.0007305028848350048 || lr: [0.0007]
**************************************************
Epoch 8650/100000 ||  loss: 0.00024960481096059084 ||  loss_test: 0.0007009716937318444 || lr: [0.0007]
**************************************************
Epoch 8700/100000 ||  loss: 0.0002352910814806819 ||  loss_test: 0.0006736029172316194 || lr: [0.0007]
**************************************************
Epoch 8750/100000 ||  loss: 0.00022220498067326844 ||  loss_test: 0.0006481701275333762 || lr: [0.0007]
**************************************************
Epoch 8800/100000 ||  loss: 0.00021020619897171855 ||  loss_test: 0.0006244781543500721 || lr: [0.0007]
**************************************************
Epoch 8850/100000 ||  loss: 0.000199177346075885 ||  loss_test: 0.0006023603491485119 || lr: [0.0007]
**************************************************
Epoch 8900/100000 ||  loss: 0.00018901744624599814 ||  loss_test: 0.0005816718912683427 || lr: [0.0007]
**************************************************
Epoch 8950/100000 ||  loss: 0.00017963784921448678 ||  loss_test: 0.000562285422347486 || lr: [0.0007]
**************************************************
Epoch 9000/100000 ||  loss: 0.0013549377908930182 ||  loss_test: 0.002314416691660881 || lr: [0.0007]
**************************************************
Epoch 9050/100000 ||  loss: 0.00017114976071752608 ||  loss_test: 0.0005368287093006074 || lr: [0.0007]
**************************************************
Epoch 9100/100000 ||  loss: 0.00015803694259375334 ||  loss_test: 0.0005170121439732611 || lr: [0.0007]
**************************************************
Epoch 9150/100000 ||  loss: 0.000161438510986045 ||  loss_test: 0.0005171990487724543 || lr: [0.0007]
**************************************************
Epoch 9200/100000 ||  loss: 0.00016894987493287772 ||  loss_test: 0.0005226762732490897 || lr: [0.0007]
**************************************************
Epoch 9250/100000 ||  loss: 0.0001435314625268802 ||  loss_test: 0.0004798619484063238 || lr: [0.0007]
**************************************************
Epoch 9300/100000 ||  loss: 0.00013387973012868315 ||  loss_test: 0.00046360353007912636 || lr: [0.0007]
**************************************************
Epoch 9350/100000 ||  loss: 0.00013484728697221726 ||  loss_test: 0.00046435295371338725 || lr: [0.0007]
**************************************************
Epoch 9400/100000 ||  loss: 0.00012613469152711332 ||  loss_test: 0.00044448356493376195 || lr: [0.0007]
**************************************************
Epoch 9450/100000 ||  loss: 0.00012470060028135777 ||  loss_test: 0.00043958230526186526 || lr: [0.00049]
**************************************************
Epoch 9500/100000 ||  loss: 0.00011739075853256509 ||  loss_test: 0.0004260102869011462 || lr: [0.00049]
**************************************************
Epoch 9550/100000 ||  loss: 0.00011428831930970773 ||  loss_test: 0.00041859474731609225 || lr: [0.00049]
**************************************************
Epoch 9600/100000 ||  loss: 0.00011133904627058655 ||  loss_test: 0.0004114927724003792 || lr: [0.00049]
**************************************************
Epoch 9650/100000 ||  loss: 0.0001085033145500347 ||  loss_test: 0.00040461806929670274 || lr: [0.00049]
**************************************************
Epoch 9700/100000 ||  loss: 0.00010577075590845197 ||  loss_test: 0.0003979452303610742 || lr: [0.00049]
**************************************************
Epoch 9750/100000 ||  loss: 0.0001031341525958851 ||  loss_test: 0.0003914586268365383 || lr: [0.00049]
**************************************************
Epoch 9800/100000 ||  loss: 0.0001005881858873181 ||  loss_test: 0.0003851477231364697 || lr: [0.00049]
**************************************************
Epoch 9850/100000 ||  loss: 9.812831558519974e-05 ||  loss_test: 0.00037900410825386643 || lr: [0.00049]
**************************************************
Epoch 9900/100000 ||  loss: 9.575093281455338e-05 ||  loss_test: 0.0003730211465153843 || lr: [0.00049]
**************************************************
Epoch 9950/100000 ||  loss: 9.345256694359705e-05 ||  loss_test: 0.0003671926388051361 || lr: [0.00049]
**************************************************
Epoch 10000/100000 ||  loss: 9.123006748268381e-05 ||  loss_test: 0.00036151346284896135 || lr: [0.00049]
**************************************************
Epoch 10050/100000 ||  loss: 8.9080429461319e-05 ||  loss_test: 0.000355978641891852 || lr: [0.00049]
**************************************************
Epoch 10100/100000 ||  loss: 8.700058970134705e-05 ||  loss_test: 0.00035058328649029136 || lr: [0.00049]
**************************************************
Epoch 10150/100000 ||  loss: 8.500960393575951e-05 ||  loss_test: 0.00034536750172264874 || lr: [0.00049]
**************************************************
Epoch 10200/100000 ||  loss: 0.00011121958959847689 ||  loss_test: 0.0003602708165999502 || lr: [0.00049]
**************************************************
Epoch 10250/100000 ||  loss: 8.252666884800419e-05 ||  loss_test: 0.0003388172772247344 || lr: [0.00049]
**************************************************
Epoch 10300/100000 ||  loss: 8.049065218074247e-05 ||  loss_test: 0.00033361843088641763 || lr: [0.00049]
**************************************************
Epoch 10350/100000 ||  loss: 7.87111057434231e-05 ||  loss_test: 0.00032883803942240775 || lr: [0.00049]
**************************************************
Epoch 10400/100000 ||  loss: 7.836915028747171e-05 ||  loss_test: 0.0003266775165684521 || lr: [0.00049]
**************************************************
Epoch 10450/100000 ||  loss: 8.099351543933153e-05 ||  loss_test: 0.00032905841362662613 || lr: [0.00049]
**************************************************
Epoch 10500/100000 ||  loss: 7.491796714020893e-05 ||  loss_test: 0.00031865938217379153 || lr: [0.000343]
**************************************************
Epoch 10550/100000 ||  loss: 7.374602137133479e-05 ||  loss_test: 0.00031546904938295484 || lr: [0.000343]
**************************************************
Epoch 10600/100000 ||  loss: 7.264785381266847e-05 ||  loss_test: 0.00031243235571309924 || lr: [0.000343]
**************************************************
Epoch 10650/100000 ||  loss: 7.157706568250433e-05 ||  loss_test: 0.0003094573912676424 || lr: [0.000343]
**************************************************
Epoch 10700/100000 ||  loss: 7.052713772282004e-05 ||  loss_test: 0.00030652733403258026 || lr: [0.000343]
**************************************************
Epoch 10750/100000 ||  loss: 6.949552334845066e-05 ||  loss_test: 0.00030363508267328143 || lr: [0.000343]
**************************************************
Epoch 10800/100000 ||  loss: 6.84808983351104e-05 ||  loss_test: 0.00030077702831476927 || lr: [0.000343]
**************************************************
Epoch 10850/100000 ||  loss: 6.748268788214773e-05 ||  loss_test: 0.000297951337415725 || lr: [0.000343]
**************************************************
Epoch 10900/100000 ||  loss: 6.650077557424083e-05 ||  loss_test: 0.0002951570204459131 || lr: [0.000343]
**************************************************
